Top ten entry date,Title,Artist,Peak,Peak date,Number of weeks in top ten,Year,Unique Words,Total Words
December 30(2017),All I Want For Christmas Is You,Mariah Carey,1,21-Dec,9,2019,114,334
20-Oct,Shallow,Lady Gaga and Bradley Cooper,1,9-Mar,7,2019,82,210
20-Oct,Happier,Marshmello and Bastille,2,16-Feb,27,2019,112,416
3-Nov,Sunflower,Post Malone and Swae Lee,1,19-Jan,33,2019,135,329
10-Nov,Without Me,Halsey,1,12-Jan,29,2019,107,459
24-Nov,High Hopes,Panic! at the Disco,4,26-Jan,15,2019,107,484
5-Jan,Jingle Bell Rock,Bobby Helms,8,5-Jan,2,2019,51,191
5-Jan,Rockin' Around the Christmas Tree,Brenda Lee,2,28-Dec,4,2019,60,124
5-Jan,Holly Jolly Christmas,Burl Ives,6,28-Dec,3,2019,60,178
19-Jan,Eastside,"Benny Blanco, Halsey and Khalid",9,19-Jan,2,2019,151,501
26-Jan,Wow,Post Malone,2,6-Apr,24,2019,158,414
2-Feb,7 Rings,Ariana Grande,1,2-Feb,16,2019,182,491
9-Feb,Middle Child,J. Cole,4,9-Feb,10,2019,264,776
23-Feb,"Break Up with Your Girlfriend, I'm Bored",Ariana Grande,2,23-Feb,2,2019,113,445
2-Mar,Please Me,Cardi B and Bruno Mars,3,16-Mar,8,2019,140,531
9-Mar,Thotiana,Blueface,8,6-Apr,2,2019,97,433
16-Mar,Sucker,Jonas Brothers,1,16-Mar,22,2019,82,421
13-Apr,Old Town Road,Lil Nas X featuring Billy Ray Cyrus1,1,13-Apr,26,2019,76,238
13-Apr,Bad Guy,Billie Eilish,1,24-Aug,30,2019,101,250
20-Apr,Better,Khalid,8,20-Apr,1,2019,97,397
27-Apr,Dancing with a Stranger,Sam Smith and Normani,7,27-Apr,8,2019,66,315
27-Apr,Boy with Luv,BTS featuring Halsey,8,27-Apr,1,2019,360,1344
4-May,Talk,Khalid,3,8-Jun,19,2019,89,297
11-May,Me!,Taylor Swift featuring Brendon Urie,2,11-May,4,2019,124,511
18-May,If I Can't Have You,Shawn Mendes,2,18-May,4,2019,87,434
18-May,Homicide,Logic featuring Eminem,5,18-May,1,2019,412,1177
25-May,I Don't Care,Ed Sheeran and Justin Bieber,2,25-May,17,2019,133,602
1-Jun,Sweet but Psycho,Ava Max,10,1-Jun,3,2019,99,456
8-Jun,Suge,DaBaby,7,6-Jul,7,2019,233,797
22-Jun,No Guidance,Chris Brown featuring Drake,5,5-Oct,23,2019,193,661
29-Jun,You Need to Calm Down,Taylor Swift,2,29-Jun,2,2019,125,362
29-Jun,Money in the Grave,Drake featuring Rick Ross,7,29-Jun,2,2019,228,610
6-Jul,Señorita,Shawn Mendes and Camila Cabello,1,31-Aug,23,2019,112,365
13-Jul,Truth Hurts,Lizzo,1,7-Sep,22,2019,152,443
20-Jul,Goodbyes,Post Malone featuring Young Thug,3,20-Jul,12,2019,148,417
10-Aug,Ransom,Lil Tecca,4,14-Sep,13,2019,114,425
17-Aug,Boyfriend,Ariana Grande and Social House,8,17-Aug,1,2019,128,580
7-Sep,Lover,Taylor Swift,10,7-Sep,1,2019,111,272
14-Sep,Circles,Post Malone,1,30-Nov,16,2019,96,340
21-Sep,Take What You Want,Post Malone featuring Ozzy Osbourne and Travis Scott,8,21-Sep,1,2019,141,444
21-Sep,Someone You Loved,Lewis Capaldi,1,2-Nov,15,2019,92,336
28-Sep,Panini,Lil Nas X,5,28-Sep,9,2019,78,219
19-Oct,Highest in the Room,Travis Scott,1,19-Oct,3,2019,151,357
19-Oct,"10,000 Hours",Dan + Shay and Justin Bieber,4,19-Oct,7,2019,87,324
26-Oct,Bandit,Juice Wrld and YoungBoy Never Broke Again,10,26-Oct,1,2019,192,644
9-Nov,Lose You to Love Me,Selena Gomez,1,9-Nov,6,2019,83,363
9-Nov,Good as Hell,Lizzo,3,30-Nov,8,2019,118,397
9-Nov,Follow God,Kanye West,7,9-Nov,1,2019,158,375
16-Nov,Memories,Maroon 5,4,30-Nov,7,2019,103,413
30-Nov,Everything I Wanted,Billie Eilish,8,30-Nov,1,2019,114,324
7-Dec,Roxanne,Arizona Zervas,4,28-Dec,4,2019,123,386
14-Dec,Heartless,The Weeknd,1,14-Dec,1,2019,144,431
21-Dec,Dance Monkey,Tones and I,9,21-Dec,1,2019,73,436
28-Dec,Futsal Shuffle 2020,Lil Uzi Vert,5,28-Dec,1,2019,219,764
